symbol	entrez	cor_ctrl	cor_hd	padj_ctrl	padj_hd	group
LOC107986578	107986578	0.235714285714286	-0.684210526315789	0.178289756355871	0.0233629930778201	HD_only
UFL1	23376	0.0235714285714286	-0.684210526315789	0.910854780866408	0.0233629930778201	HD_only
ZDHHC14	79683	0.114897959183673	0.684210526315789	0.546119924499669	0.0233629930778201	HD_only
MRPL32	64983	0.505102040816326	0.684210526315789	0.00109352152878479	0.0233629930778201	Both
INTS5	80789	-0.0808163265306122	0.684210526315789	0.681527592206928	0.0233629930778201	HD_only
CACNA1C-IT2	100874369	0.311181407790231	0.684210526315789	0.0652622401616284	0.0233629930778201	HD_only
PSMD12	5718	0.661836734693877	0.684210526315789	3.8038604377505e-06	0.0233629930778201	Both
SRRD	402055	0.129591836734694	0.684210526315789	0.490394208904922	0.0233629930778201	HD_only
PSMA5	5686	0.771428571428571	0.682706766917293	8.35688191492883e-09	0.0238448444507571	Both
SRGAP2C	653464	0.00224489795918367	-0.682706766917293	0.991942426838893	0.0238448444507571	HD_only
GLRX2	51022	0.773163265306122	0.682706766917293	7.66969864645191e-09	0.0238448444507571	Both
PCGF1	84759	0.0858163265306122	0.682706766917293	0.66188736719015	0.0238448444507571	HD_only
IP6K2	51447	-0.431734693877551	0.682706766917293	0.00692200918807227	0.0238448444507571	Both
PMS2P9	100132832	-0.563163265306122	-0.682706766917293	0.00018223513035259	0.0238448444507571	Both
AASS	10157	-0.466122448979592	-0.682706766917293	0.00305864210580245	0.0238448444507571	Both
UBE2H	7328	-0.127857142857143	-0.682706766917293	0.496494918743835	0.0238448444507571	HD_only
FAM167A	83648	-0.574387755102041	-0.682706766917293	0.000124202796833099	0.0238448444507571	Both
ARPC5L	81873	0.73030612244898	0.682706766917293	1.11869524092101e-07	0.0238448444507571	Both
MSANTD2-AS1	100507283	-0.398673469387755	-0.682706766917293	0.0139027246781595	0.0238448444507571	HD_only
MRPS31	10240	0.425204081632653	0.682706766917293	0.00799661910407792	0.0238448444507571	Both
MAGOH2P	100506898	-0.466530612244898	-0.682706766917293	0.00302723117115688	0.0238448444507571	Both
ZNF581	51545	-0.387755102040816	0.682706766917293	0.0173226565280684	0.0238448444507571	HD_only
ADAM17	6868	0.142551020408163	-0.681203007518797	0.442824838957796	0.0243633989870892	HD_only
UBE2E3	10477	0.754387755102041	0.681203007518797	2.59688184618915e-08	0.0243633989870892	Both
LINC00951	401260	-0.151938775510204	0.681203007518797	0.409974487703453	0.0243633989870892	HD_only
ABCF2	10061	0.485918367346939	0.681203007518797	0.00183880623166822	0.0243633989870892	Both
GLIS3-AS1	84850	-0.29030612244898	-0.681203007518797	0.0888537643375132	0.0243633989870892	HD_only
ACSL5	51703	-0.160816326530612	-0.681203007518797	0.380264537417806	0.0243633989870892	HD_only
DCHS1	8642	-0.685102040816326	-0.681203007518797	1.25386480764684e-06	0.0243633989870892	Both
NDUFC2-KCTD14	100532726	0.708163265306122	0.681203007518797	3.84169152491747e-07	0.0243633989870892	Both
FZD4-DT	100506368	-0.0895918367346939	-0.681203007518797	0.646388619358172	0.0243633989870892	HD_only
DZIP1	22873	0.00408163265306122	-0.681203007518797	0.985370977606352	0.0243633989870892	HD_only
RALGAPA1	253959	0.19530612244898	-0.681203007518797	0.27602062981798	0.0243633989870892	HD_only
EID1	23741	0.743061224489796	0.681203007518797	5.3071648387052e-08	0.0243633989870892	Both
MPDU1	9526	0.119081632653061	0.681203007518797	0.53002334245386	0.0243633989870892	HD_only
SNRPB	6628	0.328061224489796	0.681203007518797	0.0500519099895109	0.0243633989870892	HD_only
LOC105377188	105377188	-0.074607459894895	-0.680707080857685	0.706585093466557	0.0246300722233618	HD_only
KIAA0040	9674	-0.0179591836734694	-0.679699248120301	0.932998622955867	0.024790869131267	HD_only
ACBD3-AS1	107985353	-0.210816326530612	-0.679699248120301	0.235393308616194	0.024790869131267	HD_only
TFB2M	64216	0.674795918367347	0.679699248120301	2.11813231912519e-06	0.024790869131267	Both
MTX2	10651	0.716632653061224	0.679699248120301	2.41826637412765e-07	0.024790869131267	Both
LOC100130872	100130872	-0.0819387755102041	0.679699248120301	0.676778967641664	0.024790869131267	HD_only
ZBED3	84327	-0.501836734693877	-0.679699248120301	0.00119485662422723	0.024790869131267	Both
UCK1	83549	-0.356326530612245	0.679699248120301	0.0310152565069287	0.024790869131267	HD_only
STARD10	10809	0.0552040816326531	0.679699248120301	0.784387297347224	0.024790869131267	HD_only
CEP164	22897	-0.75204081632653	-0.679699248120301	3.00007500081166e-08	0.024790869131267	Both
BCL9L	283149	-0.627244897959184	-0.679699248120301	1.69425513091889e-05	0.024790869131267	Both
GLRX5	51218	0.631632653061225	0.679699248120301	1.41075980985453e-05	0.024790869131267	Both
SNRNP25	79622	0.337959183673469	0.679699248120301	0.0425467800359756	0.024790869131267	HD_only
LINC02177	101927009	-0.428061224489796	-0.679699248120301	0.00752036423652531	0.024790869131267	Both
ANKFY1	51479	-0.646020408163265	-0.679699248120301	7.69166489676333e-06	0.024790869131267	Both
NFIX	4784	-0.680102040816326	-0.679699248120301	1.63508481458688e-06	0.024790869131267	Both
SNHG11	128439	-0.0791836734693877	0.679699248120301	0.688116920381075	0.024790869131267	HD_only
LOC107987299	107987299	0.138877551020408	-0.679699248120301	0.456132977450396	0.024790869131267	HD_only
LOC107984311	107984311	-0.4032044107127	-0.679202755817115	0.0127101197517412	0.0250613679920388	Both
MIR103B2	100302282	0.466734693877551	0.67845059329683	0.00301188881412438	0.0254353695905141	Both
EXO1	9156	0.292551020408163	0.678195488721804	0.086051143434821	0.0254353695905141	HD_only
PLEKHA3	65977	0.780408163265306	0.678195488721804	4.45972925215704e-09	0.0254353695905141	Both
PTPRG-AS1	100506994	0.116326530612245	-0.678195488721804	0.540525824712269	0.0254353695905141	HD_only
ATP1B3	483	0.796530612244898	0.678195488721804	1.34193250079122e-09	0.0254353695905141	Both
AFAP1-AS1	84740	-0.0823469387755102	-0.678195488721804	0.675312181185426	0.0254353695905141	HD_only
SLC25A37	51312	-0.394285714285714	-0.678195488721804	0.015209367544979	0.0254353695905141	HD_only
ETS1	2113	0.155612244897959	-0.678195488721804	0.397636346804038	0.0254353695905141	HD_only
HELZ2	85441	-0.442551020408163	-0.678195488721804	0.00540551029292348	0.0254353695905141	Both
LOC105372471	105372471	-0.106326530612245	-0.67771161193569	0.580057607197542	0.0257037494305298	HD_only
LOC107985200	107985200	0.210510204081633	0.676691729323308	0.236205741667316	0.0259890955897497	HD_only
LOC100130691	100130691	-0.197142857142857	-0.676691729323308	0.271070156606349	0.0259890955897497	HD_only
KY	339855	-0.258775510204082	-0.676691729323308	0.135263152657599	0.0259890955897497	HD_only
UBE2QL1	134111	0.744285714285714	0.676691729323308	4.92457726433263e-08	0.0259890955897497	Both
SEMA6A-AS1	101927233	-0.596836734693878	-0.676691729323308	5.5575375547624e-05	0.0259890955897497	Both
DMTF1	9988	-0.299285714285714	-0.676691729323308	0.0780488149417717	0.0259890955897497	HD_only
DNAJB6	10049	0.780918367346939	0.676691729323308	4.33090514858851e-09	0.0259890955897497	Both
LOC107984219	107984219	-0.395816326530612	-0.676691729323308	0.0147347421733238	0.0259890955897497	HD_only
CPSF7	79869	-0.779591836734694	-0.676691729323308	4.70656919284264e-09	0.0259890955897497	Both
NDUFB1	4707	0.419897959183673	0.676691729323308	0.00899683715535859	0.0259890955897497	Both
RBBP9	10741	-0.176122448979592	-0.676691729323308	0.331301728861345	0.0259890955897497	HD_only
RTCB	51493	0.458979591836735	0.676691729323308	0.00365229834294024	0.0259890955897497	Both
RBM34	23029	0.702040816326531	0.675187969924812	5.29817550397365e-07	0.0265548598063119	Both
KCMF1	56888	0.673571428571429	0.675187969924812	2.22891682878229e-06	0.0265548598063119	Both
